example_id                                                             | status  | run_time        |
./spec/models/organization_spec.rb[1:4]                                | passed  | 0.01122 seconds |
./spec/models/report_spec.rb[1:1:1]                                    | passed  | 0.0022 seconds  |
./spec/models/report_spec.rb[1:1:2]                                    | passed  | 0.00222 seconds |
./spec/models/report_spec.rb[1:1:3:1]                                  | passed  | 0.00609 seconds |
./spec/models/report_spec.rb[1:1:4:1]                                  | passed  | 0.00593 seconds |
./spec/models/report_spec.rb[1:1:5:1]                                  | passed  | 0.00416 seconds |
./spec/models/report_spec.rb[1:1:6:1]                                  | passed  | 0.00269 seconds |
./spec/models/report_spec.rb[1:1:7:1]                                  | passed  | 0.00758 seconds |
./spec/models/report_spec.rb[1:1:8:1]                                  | passed  | 0.0112 seconds  |
./spec/models/report_spec.rb[1:2:1]                                    | passed  | 0.01288 seconds |
./spec/models/report_spec.rb[1:3]                                      | passed  | 0.0136 seconds  |
./spec/models/user_spec.rb[1:1:1]                                      | passed  | 0.00524 seconds |
./spec/models/user_spec.rb[1:1:2]                                      | passed  | 0.0044 seconds  |
./spec/models/user_spec.rb[1:1:3:1]                                    | passed  | 0.0067 seconds  |
./spec/models/user_spec.rb[1:1:4:1]                                    | passed  | 0.00593 seconds |
./spec/models/user_spec.rb[1:1:5:1]                                    | passed  | 0.00494 seconds |
./spec/models/user_spec.rb[1:1:6:1]                                    | passed  | 0.00485 seconds |
./spec/models/user_spec.rb[1:1:7:1]                                    | passed  | 0.01398 seconds |
./spec/models/user_spec.rb[1:1:8:1]                                    | passed  | 0.0136 seconds  |
./spec/models/user_spec.rb[1:2:1]                                      | passed  | 0.0236 seconds  |
./spec/models/user_spec.rb[1:3]                                        | passed  | 0.00461 seconds |
./spec/models/user_spec.rb[1:4:1]                                      | passed  | 0.00395 seconds |
./spec/models/user_spec.rb[1:4:2]                                      | passed  | 0.00073 seconds |
./spec/models/user_spec.rb[1:4:3]                                      | passed  | 0.00074 seconds |
./spec/models/user_spec.rb[1:4:4]                                      | passed  | 0.00065 seconds |
./spec/models/user_spec.rb[1:5:1]                                      | passed  | 0.00278 seconds |
./spec/models/user_spec.rb[1:5:2]                                      | passed  | 0.00198 seconds |
./spec/models/user_spec.rb[1:6:1]                                      | passed  | 0.00403 seconds |
./spec/models/user_spec.rb[1:6:2]                                      | passed  | 0.00446 seconds |
./spec/models/user_spec.rb[1:6:3]                                      | passed  | 0.00429 seconds |
./spec/models/user_spec.rb[1:6:4]                                      | passed  | 0.0054 seconds  |
./spec/models/user_spec.rb[1:6:5:1]                                    | passed  | 0.0043 seconds  |
./spec/models/user_spec.rb[1:6:5:2]                                    | passed  | 0.0039 seconds  |
./spec/modules/aws_event_types_spec.rb[1:1]                            | passed  | 0.0006 seconds  |
./spec/modules/aws_event_types_spec.rb[1:2]                            | passed  | 0.00059 seconds |
./spec/modules/aws_event_types_spec.rb[1:3]                            | passed  | 0.00073 seconds |
./spec/modules/aws_event_types_spec.rb[1:4]                            | passed  | 0.00066 seconds |
./spec/modules/boolean_options_spec.rb[1:1]                            | passed  | 0.0008 seconds  |
./spec/modules/boolean_options_spec.rb[1:2:1]                          | passed  | 0.0008 seconds  |
./spec/modules/boolean_options_spec.rb[1:3:1]                          | passed  | 0.00061 seconds |
./spec/modules/rails_log_level_types_spec.rb[1:1]                      | passed  | 0.00292 seconds |
./spec/modules/rails_log_level_types_spec.rb[1:2]                      | passed  | 0.00128 seconds |
./spec/modules/storage_asset_service_regions_spec.rb[1:1:1]            | passed  | 0.00241 seconds |
./spec/modules/storage_asset_service_regions_spec.rb[1:2:1]            | passed  | 0.00105 seconds |
./spec/modules/storage_asset_services_spec.rb[1:1]                     | passed  | 0.00076 seconds |
./spec/modules/storage_asset_services_spec.rb[1:2:1]                   | passed  | 0.00065 seconds |
./spec/modules/storage_asset_services_spec.rb[1:3:1]                   | passed  | 0.00239 seconds |
./spec/policies/contact_policy_spec.rb[1:1:1]                          | passed  | 0.03949 seconds |
./spec/policies/contact_policy_spec.rb[1:1:2]                          | passed  | 0.0348 seconds  |
./spec/policies/contact_policy_spec.rb[1:2:1]                          | passed  | 0.02962 seconds |
./spec/policies/contact_policy_spec.rb[1:2:2]                          | passed  | 0.03034 seconds |
./spec/policies/contact_policy_spec.rb[1:3:1]                          | passed  | 0.03605 seconds |
./spec/policies/contact_policy_spec.rb[1:3:2]                          | passed  | 0.03679 seconds |
./spec/policies/contact_policy_spec.rb[1:4:1]                          | passed  | 0.0341 seconds  |
./spec/policies/contact_policy_spec.rb[1:4:2]                          | passed  | 0.03446 seconds |
./spec/policies/contact_policy_spec.rb[1:5:1]                          | passed  | 0.03943 seconds |
./spec/policies/contact_policy_spec.rb[1:5:2]                          | passed  | 0.04025 seconds |
./spec/policies/contact_policy_spec.rb[1:6:1]                          | passed  | 0.0357 seconds  |
./spec/policies/contact_policy_spec.rb[1:6:2]                          | passed  | 0.06396 seconds |
./spec/policies/contact_policy_spec.rb[1:7:1]                          | passed  | 0.03372 seconds |
./spec/policies/contact_policy_spec.rb[1:7:2]                          | passed  | 0.03523 seconds |
./spec/policies/contact_policy_spec.rb[1:8:1]                          | passed  | 0.03974 seconds |
./spec/policies/contact_policy_spec.rb[1:8:2]                          | passed  | 0.0336 seconds  |
./spec/policies/data_log_policy_spec.rb[1:1:1]                         | passed  | 0.07073 seconds |
./spec/policies/data_log_policy_spec.rb[1:1:2]                         | passed  | 0.03928 seconds |
./spec/policies/data_log_policy_spec.rb[1:2:1]                         | passed  | 0.29557 seconds |
./spec/policies/data_log_policy_spec.rb[1:2:2]                         | passed  | 0.03734 seconds |
./spec/policies/link_policy_spec.rb[1:1:1]                             | passed  | 0.0354 seconds  |
./spec/policies/link_policy_spec.rb[1:1:2]                             | passed  | 0.03694 seconds |
./spec/policies/link_policy_spec.rb[1:2:1]                             | passed  | 0.03633 seconds |
./spec/policies/link_policy_spec.rb[1:2:2]                             | passed  | 0.04022 seconds |
./spec/policies/link_policy_spec.rb[1:3:1]                             | passed  | 0.07698 seconds |
./spec/policies/link_policy_spec.rb[1:3:2]                             | passed  | 0.04061 seconds |
./spec/policies/link_policy_spec.rb[1:4:1]                             | passed  | 0.03888 seconds |
./spec/policies/link_policy_spec.rb[1:4:2]                             | passed  | 0.0478 seconds  |
./spec/policies/link_policy_spec.rb[1:5:1]                             | passed  | 0.06078 seconds |
./spec/policies/link_policy_spec.rb[1:5:2]                             | passed  | 0.03971 seconds |
./spec/policies/link_policy_spec.rb[1:6:1]                             | passed  | 0.03396 seconds |
./spec/policies/link_policy_spec.rb[1:6:2]                             | passed  | 0.03198 seconds |
./spec/policies/link_policy_spec.rb[1:7:1]                             | passed  | 0.03842 seconds |
./spec/policies/link_policy_spec.rb[1:7:2]                             | passed  | 0.03547 seconds |
./spec/policies/link_policy_spec.rb[1:8:1]                             | passed  | 0.04642 seconds |
./spec/policies/link_policy_spec.rb[1:8:2]                             | passed  | 0.04011 seconds |
./spec/policies/link_policy_spec.rb[1:9:1]                             | passed  | 0.03971 seconds |
./spec/policies/link_policy_spec.rb[1:9:2]                             | passed  | 0.04691 seconds |
./spec/policies/link_policy_spec.rb[1:10:1]                            | passed  | 0.05192 seconds |
./spec/policies/link_policy_spec.rb[1:10:2]                            | passed  | 0.03733 seconds |
./spec/policies/maintenance_tasks_run_policy_spec.rb[1:1:1]            | passed  | 0.03135 seconds |
./spec/policies/maintenance_tasks_run_policy_spec.rb[1:1:2]            | passed  | 0.07116 seconds |
./spec/policies/maintenance_tasks_run_policy_spec.rb[1:2:1]            | passed  | 0.04551 seconds |
./spec/policies/maintenance_tasks_run_policy_spec.rb[1:2:2]            | passed  | 0.03502 seconds |
./spec/policies/maintenance_tasks_run_policy_spec.rb[1:3:1]            | passed  | 0.04224 seconds |
./spec/policies/maintenance_tasks_run_policy_spec.rb[1:3:2]            | passed  | 0.0448 seconds  |
./spec/policies/maintenance_tasks_run_policy_spec.rb[1:4:1]            | passed  | 0.04064 seconds |
./spec/policies/maintenance_tasks_run_policy_spec.rb[1:4:2]            | passed  | 0.0706 seconds  |
./spec/policies/maintenance_tasks_run_policy_spec.rb[1:5:1]            | passed  | 0.03691 seconds |
./spec/policies/maintenance_tasks_run_policy_spec.rb[1:5:2]            | passed  | 0.03634 seconds |
./spec/policies/maintenance_tasks_run_policy_spec.rb[1:6:1]            | passed  | 0.03677 seconds |
./spec/policies/maintenance_tasks_run_policy_spec.rb[1:6:2]            | passed  | 0.03761 seconds |
./spec/policies/maintenance_tasks_run_policy_spec.rb[1:7:1]            | passed  | 0.0411 seconds  |
./spec/policies/maintenance_tasks_run_policy_spec.rb[1:7:2]            | passed  | 0.04126 seconds |
./spec/policies/maintenance_tasks_run_policy_spec.rb[1:8:1]            | passed  | 0.04281 seconds |
./spec/policies/maintenance_tasks_run_policy_spec.rb[1:8:2]            | passed  | 0.04212 seconds |
./spec/policies/organization_policy_spec.rb[1:1:1]                     | passed  | 0.03504 seconds |
./spec/policies/organization_policy_spec.rb[1:1:2]                     | passed  | 0.03919 seconds |
./spec/policies/organization_policy_spec.rb[1:2:1]                     | passed  | 0.03339 seconds |
./spec/policies/organization_policy_spec.rb[1:2:2]                     | passed  | 0.04072 seconds |
./spec/policies/organization_policy_spec.rb[1:3:1]                     | passed  | 0.03425 seconds |
./spec/policies/organization_policy_spec.rb[1:3:2]                     | passed  | 0.03265 seconds |
./spec/policies/organization_policy_spec.rb[1:4:1]                     | passed  | 0.03922 seconds |
./spec/policies/organization_policy_spec.rb[1:4:2]                     | passed  | 0.03429 seconds |
./spec/policies/organization_policy_spec.rb[1:5:1]                     | passed  | 0.03113 seconds |
./spec/policies/organization_policy_spec.rb[1:5:2]                     | passed  | 0.04824 seconds |
./spec/policies/organization_policy_spec.rb[1:6:1]                     | passed  | 0.03423 seconds |
./spec/policies/organization_policy_spec.rb[1:6:2]                     | passed  | 0.04622 seconds |
./spec/policies/organization_policy_spec.rb[1:7:1]                     | passed  | 0.03018 seconds |
./spec/policies/organization_policy_spec.rb[1:7:2]                     | passed  | 0.03226 seconds |
./spec/policies/report_policy_spec.rb[1:1:1]                           | passed  | 0.03639 seconds |
./spec/policies/report_policy_spec.rb[1:1:2]                           | passed  | 0.03592 seconds |
./spec/policies/report_policy_spec.rb[1:2:1]                           | passed  | 0.03766 seconds |
./spec/policies/report_policy_spec.rb[1:2:2]                           | passed  | 0.04254 seconds |
./spec/policies/report_policy_spec.rb[1:3:1]                           | passed  | 0.04266 seconds |
./spec/policies/report_policy_spec.rb[1:3:2]                           | passed  | 0.06504 seconds |
./spec/policies/report_policy_spec.rb[1:4:1]                           | passed  | 0.04026 seconds |
./spec/policies/report_policy_spec.rb[1:4:2]                           | passed  | 0.04647 seconds |
./spec/policies/report_policy_spec.rb[1:5:1]                           | passed  | 0.03839 seconds |
./spec/policies/report_policy_spec.rb[1:5:2]                           | passed  | 0.03957 seconds |
./spec/policies/report_policy_spec.rb[1:6:1]                           | passed  | 0.0321 seconds  |
./spec/policies/report_policy_spec.rb[1:6:2]                           | passed  | 0.05096 seconds |
./spec/policies/report_policy_spec.rb[1:7:1]                           | passed  | 0.04074 seconds |
./spec/policies/report_policy_spec.rb[1:7:2]                           | passed  | 0.07082 seconds |
./spec/policies/report_policy_spec.rb[1:8:1]                           | passed  | 0.03495 seconds |
./spec/policies/report_policy_spec.rb[1:8:2]                           | passed  | 0.03382 seconds |
./spec/policies/report_policy_spec.rb[1:9:1]                           | passed  | 0.04518 seconds |
